row_index_0based,col_index_0based,row_vertex,col_vertex,value
0,0,0,0,5
0,1,0,1,1
0,2,0,2,1
0,4,0,4,1
0,7,0,7,1
0,13,0,13,1
1,0,1,0,1
1,1,1,1,3
1,10,1,10,1
1,11,1,11,1
2,0,2,0,1
2,2,2,2,3
2,3,2,3,1
2,12,2,12,1
3,2,3,2,1
3,3,3,3,5
3,20,3,20,1
3,27,3,27,1
3,34,3,34,1
3,35,3,35,1
4,0,4,0,1
4,4,4,4,3
4,5,4,5,1
4,6,4,6,1
5,4,5,4,1
5,5,5,5,5
5,36,5,36,1
5,43,5,43,1
5,50,5,50,1
5,51,5,51,1
6,4,6,4,1
6,6,6,6,5
6,52,6,52,1
6,59,6,59,1
6,66,6,66,1
6,67,6,67,1
7,0,7,0,1
7,7,7,7,3
7,8,7,8,1
7,9,7,9,1
8,7,8,7,1
8,8,8,8,5
8,68,8,68,1
8,75,8,75,1
8,82,8,82,1
8,83,8,83,1
9,7,9,7,1
9,9,9,9,5
9,84,9,84,1
9,91,9,91,1
9,98,9,98,1
9,99,9,99,1
10,1,10,1,1
10,10,10,10,5
10,100,10,100,1
10,107,10,107,1
10,114,10,114,1
10,115,10,115,1
11,1,11,1,1
11,11,11,11,5
11,116,11,116,1
11,123,11,123,1
11,130,11,130,1
11,131,11,131,1
12,2,12,2,1
12,12,12,12,5
12,132,12,132,1
12,139,12,139,1
12,146,12,146,1
12,147,12,147,1
13,0,13,0,1
13,13,13,13,7
13,14,13,14,1
13,15,13,15,1
13,16,13,16,1
13,17,13,17,1
13,18,13,18,1
13,19,13,19,1
14,13,14,13,1
14,14,14,14,1
15,13,15,13,1
15,15,15,15,1
16,13,16,13,1
16,16,16,16,1
17,13,17,13,1
17,17,17,17,1
18,13,18,13,1
18,18,18,18,1
19,13,19,13,1
19,19,19,19,1
20,3,20,3,1
20,20,20,20,7
20,21,20,21,1
20,22,20,22,1
20,23,20,23,1
20,24,20,24,1
20,25,20,25,1
20,26,20,26,1
21,20,21,20,1
21,21,21,21,1
22,20,22,20,1
22,22,22,22,1
23,20,23,20,1
23,23,23,23,1
24,20,24,20,1
24,24,24,24,1
25,20,25,20,1
25,25,25,25,1
26,20,26,20,1
26,26,26,26,1
27,3,27,3,1
27,27,27,27,7
27,28,27,28,1
27,29,27,29,1
27,30,27,30,1
27,31,27,31,1
27,32,27,32,1
27,33,27,33,1
28,27,28,27,1
28,28,28,28,1
29,27,29,27,1
29,29,29,29,1
30,27,30,27,1
30,30,30,30,1
31,27,31,27,1
31,31,31,31,1
32,27,32,27,1
32,32,32,32,1
33,27,33,27,1
33,33,33,33,1
34,3,34,3,1
34,34,34,34,1
35,3,35,3,1
35,35,35,35,1
36,5,36,5,1
36,36,36,36,7
36,37,36,37,1
36,38,36,38,1
36,39,36,39,1
36,40,36,40,1
36,41,36,41,1
36,42,36,42,1
37,36,37,36,1
37,37,37,37,1
38,36,38,36,1
38,38,38,38,1
39,36,39,36,1
39,39,39,39,1
40,36,40,36,1
40,40,40,40,1
41,36,41,36,1
41,41,41,41,1
42,36,42,36,1
42,42,42,42,1
43,5,43,5,1
43,43,43,43,7
43,44,43,44,1
43,45,43,45,1
43,46,43,46,1
43,47,43,47,1
43,48,43,48,1
43,49,43,49,1
44,43,44,43,1
44,44,44,44,1
45,43,45,43,1
45,45,45,45,1
46,43,46,43,1
46,46,46,46,1
47,43,47,43,1
47,47,47,47,1
48,43,48,43,1
48,48,48,48,1
49,43,49,43,1
49,49,49,49,1
50,5,50,5,1
50,50,50,50,1
51,5,51,5,1
51,51,51,51,1
52,6,52,6,1
52,52,52,52,7
52,53,52,53,1
52,54,52,54,1
52,55,52,55,1
52,56,52,56,1
52,57,52,57,1
52,58,52,58,1
53,52,53,52,1
53,53,53,53,1
54,52,54,52,1
54,54,54,54,1
55,52,55,52,1
55,55,55,55,1
56,52,56,52,1
56,56,56,56,1
57,52,57,52,1
57,57,57,57,1
58,52,58,52,1
58,58,58,58,1
59,6,59,6,1
59,59,59,59,7
59,60,59,60,1
59,61,59,61,1
59,62,59,62,1
59,63,59,63,1
59,64,59,64,1
59,65,59,65,1
60,59,60,59,1
60,60,60,60,1
61,59,61,59,1
61,61,61,61,1
62,59,62,59,1
62,62,62,62,1
63,59,63,59,1
63,63,63,63,1
64,59,64,59,1
64,64,64,64,1
65,59,65,59,1
65,65,65,65,1
66,6,66,6,1
66,66,66,66,1
67,6,67,6,1
67,67,67,67,1
68,8,68,8,1
68,68,68,68,7
68,69,68,69,1
68,70,68,70,1
68,71,68,71,1
68,72,68,72,1
68,73,68,73,1
68,74,68,74,1
69,68,69,68,1
69,69,69,69,1
70,68,70,68,1
70,70,70,70,1
71,68,71,68,1
71,71,71,71,1
72,68,72,68,1
72,72,72,72,1
73,68,73,68,1
73,73,73,73,1
74,68,74,68,1
74,74,74,74,1
75,8,75,8,1
75,75,75,75,7
75,76,75,76,1
75,77,75,77,1
75,78,75,78,1
75,79,75,79,1
75,80,75,80,1
75,81,75,81,1
76,75,76,75,1
76,76,76,76,1
77,75,77,75,1
77,77,77,77,1
78,75,78,75,1
78,78,78,78,1
79,75,79,75,1
79,79,79,79,1
80,75,80,75,1
80,80,80,80,1
81,75,81,75,1
81,81,81,81,1
82,8,82,8,1
82,82,82,82,1
83,8,83,8,1
83,83,83,83,1
84,9,84,9,1
84,84,84,84,7
84,85,84,85,1
84,86,84,86,1
84,87,84,87,1
84,88,84,88,1
84,89,84,89,1
84,90,84,90,1
85,84,85,84,1
85,85,85,85,1
86,84,86,84,1
86,86,86,86,1
