vertex,one,Q_one,Q2_one,Q3_one
0,1,10,88,752
1,1,6,48,408
2,1,6,48,408
3,1,10,88,752
4,1,6,48,408
5,1,10,88,752
6,1,6,48,408
7,1,10,88,752
8,1,10,88,752
9,1,6,48,408
10,1,10,88,752
11,1,10,88,752
12,1,6,48,408
13,1,10,88,752
14,1,10,88,752
15,1,10,88,752
16,1,10,88,752
17,1,10,88,752
18,1,6,48,408
19,1,10,88,752
20,1,6,48,408
21,1,10,88,752
22,1,6,48,408
23,1,10,88,752
24,1,10,88,752
25,1,6,48,408
26,1,10,88,752
27,1,10,88,752
28,1,6,48,408
29,1,10,88,752
30,1,10,88,752
31,1,10,88,752
32,1,6,48,408
33,1,10,88,752
34,1,10,88,752
35,1,6,48,408
36,1,10,88,752
37,1,10,88,752
38,1,6,48,408
39,1,10,88,752
40,1,10,88,752
41,1,6,48,408
42,1,10,88,752
43,1,6,48,408
44,1,10,88,752
45,1,10,88,752
46,1,6,48,408
47,1,10,88,752
48,1,10,88,752
49,1,6,48,408
50,1,10,88,752
51,1,10,88,752
52,1,10,88,752
53,1,6,48,408
54,1,10,88,752
55,1,10,88,752
56,1,6,48,408
57,1,10,88,752
58,1,10,88,752
59,1,6,48,408
60,1,10,88,752
61,1,10,88,752
62,1,6,48,408
63,1,10,88,752
64,1,6,48,408
65,1,10,88,752
66,1,10,88,752
67,1,6,48,408
68,1,10,88,752
69,1,10,88,752
70,1,6,48,408
71,1,10,88,752
72,1,10,88,752
73,1,10,88,752
74,1,6,48,408
75,1,10,88,752
76,1,10,88,752
77,1,6,48,408
78,1,10,88,752
79,1,10,88,752
80,1,6,48,408
81,1,10,88,752
82,1,10,88,752
83,1,10,88,752
84,1,6,48,408
85,1,10,88,752
86,1,6,48,408
87,1,10,88,752
88,1,10,88,752
89,1,6,48,408
90,1,10,88,752
91,1,10,88,752
92,1,6,48,408
93,1,10,88,752
94,1,10,88,752
95,1,10,88,752
96,1,6,48,408
97,1,10,88,752
98,1,10,88,752
99,1,6,48,408
100,1,10,88,752
101,1,10,88,752
102,1,6,48,408
103,1,10,88,752
104,1,10,88,752
105,1,6,48,408
106,1,10,88,752
107,1,6,48,408
108,1,10,88,752
109,1,10,88,752
110,1,6,48,408
111,1,10,88,752
112,1,10,88,752
113,1,6,48,408
114,1,10,88,752
115,1,10,88,752
116,1,10,88,752
117,1,6,48,408
118,1,10,88,752
119,1,10,88,752
120,1,6,48,408
121,1,10,88,752
122,1,10,88,752
123,1,6,48,408
124,1,10,88,752
125,1,10,88,752
126,1,6,48,408
127,1,10,88,752
128,1,6,48,408
129,1,10,88,752
130,1,10,88,752
131,1,6,48,408
132,1,10,88,752
133,1,10,88,752
134,1,6,48,408
135,1,10,88,752
136,1,10,88,752
137,1,10,88,752
138,1,6,48,408
139,1,10,88,752
140,1,10,88,752
141,1,6,48,408
142,1,10,88,752
143,1,10,88,752
144,1,6,48,408
145,1,10,88,752
